commodity,financial_year,value_aud_millions
Wheat,1988–89,2193.13
Wheat,1989–90,2455.417
Wheat,1990–91,1696.393
Wheat,1991–92,1510.185
Wheat,1992–93,1987.195
Wheat,1993–94,2290.086
Wheat,1994–95,1617.795
Wheat,1995–96,3363.294
Wheat,1996–97,4301.365
Wheat,1997–98,3629.555
Wheat,1998–99,3398.751
Wheat,1999–00,3412.901
Wheat,2000–01,4134.504
Wheat,2001–02,4527.428
Wheat,2002–03,3036.384
Wheat,2003–04,3399.244
Wheat,2004–05,3395.753
Wheat,2005–06,3212.262
Wheat,2006–07,2672.513
Wheat,2007–08,2886.212
Wheat,2008–09,4936.091
Wheat,2009–10,3636.429
Wheat,2010–11,5481.751
Wheat,2011–12,6350.944
Wheat,2012–13,6749.999
Wheat,2013–14,6084.145
Wheat,2014–15,5528.077
Wheat,2015–16,5096.342
Wheat,2016–17,6073.292
Wheat,2017–18,4652.052
Wheat,2018–19,3656.746
Wheat,2019–20,3847.303
Wheat,2020–21,6804.922
Wheat,2021–22,11336.203
Wheat,2022–23,16737.856
Wheat,2023–24,9871.387
Wheat,2024–25,8660.501
Barley,1988–89,224.351
Barley,1989–90,425.237
Barley,1990–91,356.342
Barley,1991–92,296.62
Barley,1992–93,404.794
Barley,1993–94,248.776
Barley,1994–95,296.369
Barley,1995–96,710.933
Barley,1996–97,815.029
Barley,1997–98,544.541
Barley,1998–99,697.99
Barley,1999–00,646.39
Barley,2000–01,875.927
Barley,2001–02,1017.442
Barley,2002–03,690.114
Barley,2003–04,998.099
Barley,2004–05,1045.031
Barley,2005–06,904.433
Barley,2006–07,576.343
Barley,2007–08,1175.119
Barley,2008–09,889.093
Barley,2009–10,701.904
Barley,2010–11,996.265
Barley,2011–12,1523.193
Barley,2012–13,1266.864
Barley,2013–14,1830.558
Barley,2014–15,1758.068
Barley,2015–16,1444.723
Barley,2016–17,2106.157
Barley,2017–18,1974.793
Barley,2018–19,1381.832
Barley,2019–20,1027.632
Barley,2020–21,1910.023
Barley,2021–22,2976.777
Barley,2022–23,3331.683
Barley,2023–24,3317.335
Barley,2024–25,2961.801
Canola,1988–89,0.034
Canola,1989–90,0.048
Canola,1990–91,0.023
Canola,1991–92,3.205
Canola,1992–93,19.035
Canola,1993–94,47.573
Canola,1994–95,37.605
Canola,1995–96,137.884
Canola,1996–97,123.953
Canola,1997–98,255.983
Canola,1998–99,557.734
Canola,1999–00,638.759
Canola,2000–01,543.612
Canola,2001–02,572.491
Canola,2002–03,288.787
Canola,2003–04,453.242
Canola,2004–05,396.524
Canola,2005–06,330.748
Canola,2006–07,108.205
Canola,2007–08,302.953
Canola,2008–09,595.381
Canola,2009–10,582.663
Canola,2010–11,866.011
Canola,2011–12,1343.534
Canola,2012–13,2094.379
Canola,2013–14,1928.776
Canola,2014–15,1349.278
Canola,2015–16,1097.068
Canola,2016–17,2127.888
Canola,2017–18,1306.124
Canola,2018–19,953.394
Canola,2019–20,1173.116
Canola,2020–21,2185.012
Canola,2021–22,5764.022
Canola,2022–23,5676.707
Canola,2023–24,4703.9
Canola,2024–25,4908.964
Cotton,1988–89,464.129
Cotton,1989–90,579.795
Cotton,1990–91,737.677
Cotton,1991–92,945.034
Cotton,1992–93,755.472
Cotton,1993–94,731.999
Cotton,1994–95,678.738
Cotton,1995–96,762.275
Cotton,1996–97,1076.922
Cotton,1997–98,1385.644
Cotton,1998–99,1558.973
Cotton,1999–00,1406.604
Cotton,2000–01,1958.311
Cotton,2001–02,1547.44
Cotton,2002–03,1153.191
Cotton,2003–04,982.186
Cotton,2004–05,770.942
Cotton,2005–06,1137.402
Cotton,2006–07,823.382
Cotton,2007–08,465.73
Cotton,2008–09,500.108
Cotton,2009–10,754.569
Cotton,2010–11,1366.831
Cotton,2011–12,2736.049
Cotton,2012–13,2694.815
Cotton,2013–14,2355.354
Cotton,2014–15,1546.125
Cotton,2015–16,1269.223
Cotton,2016–17,1788.422
Cotton,2017–18,2131.509
Cotton,2018–19,2555.603
Cotton,2019–20,963.527
Cotton,2020–21,629.216
Cotton,2021–22,2229.192
Cotton,2022–23,4901.407
Cotton,2023–24,4145.985
Cotton,2024–25,3397.428
Sugar,1988–89,864.032
Sugar,1989–90,1036.808
Sugar,1990–91,891.134
Sugar,1991–92,681.267
Sugar,1992–93,986.853
Sugar,1993–94,1232.088
Sugar,1994–95,1629.294
