country,import_usd_thousand,import_value_aud_millions,id,latitude,longitude
New Zealand,1342198.72,2080.41,554,-41.3,174.8
United States,907748.48,1407.01,840,37.1,-95.7
China,854707.39,1324.8,156,35.9,104.2
Thailand,823545.6,1276.5,764,15.9,100.9
Italy,679677.78,1053.5,380,41.9,12.6
France,671080.57,1040.17,250,46.2,2.2
Singapore,621584.21,963.46,702,1.3,103.8
United Kingdom,480166.54,744.26,826,51.5,-0.1
Indonesia,430661.57,667.53,360,-0.8,113.9
Netherlands,424064.74,657.3,528,52.1,5.3
Argentina,388478.27,602.14,32,-38.4,-63.6
Germany,359654.36,557.46,276,51.2,10.5
Malaysia,301659.75,467.57,458,4.2,108.0
Belgium,276660.72,428.82,56,50.5,4.5
Vietnam,232603.18,360.53,704,14.1,108.3
"Korea, Rep.",203832.15,315.94,410,35.9,127.8
Japan,191370.78,296.62,392,36.2,138.3
Spain,156446.93,242.49,724,40.5,-3.7
Mexico,154594.01,239.62,484,23.6,-102.5
